ten_doanh_nghiep,tinh_thanh,so_dien_thoai,email,website,nganh_nghe,quy_mo
Công ty TNHH Công Nghệ ABC,Hà Nội,0901234567,info@abc.vn,abc.vn,Công nghệ thông tin,50-100 nhân viên
Công ty Cổ Phần XYZ,TP.HCM,0912345678,contact@xyz.com,xyz.com.vn,Thương mại điện tử,100-200 nhân viên
Công ty TNHH Logistics DEF,Đà Nẵng,0236123456,support@def.vn,def.com.vn,Vận tải,20-50 nhân viên
Nhà Hàng Món Việt,Hà Nội,0243456789,monviet@gmail.com,,Ẩm thực,10-20 nhân viên
Siêu Thị Mini Market,Hải Phòng,0225987654,minimarket@yahoo.com,,Bán lẻ,5-10 nhân viên
Công ty CP Xây Dựng Nam Á,TP.HCM,0908765432,namasia@construction.vn,namasia.vn,Xây dựng,200-500 nhân viên
Phòng Khám Đa Khoa An Khang,Cần Thơ,0292123456,ankhang@healthcare.vn,phongkhamankhang.com,Y tế,20-50 nhân viên
Trung Tâm Đào Tạo IT Pro,Hà Nội,0246789012,contact@itpro.edu.vn,itpro.edu.vn,Giáo dục,10-20 nhân viên
Xưởng May Thời Trang Việt,Bình Dương,0274567890,fashion@vietgarment.com,,Dệt may,100-200 nhân viên
Công ty TNHH Du Lịch Việt Travel,Đà Nẵng,0236654321,info@viettravel.vn,viettravel.vn,Du lịch,30-50 nhân viên
